word,sentence
talent,Talent.
precious,My precious.
egg,An egg.
confused,I'm confused.
sat,Maybe we should've sat in Marilyn Monroe's section.
wire,Wire.
bags,Pack your bags.
fourth,Fourth floor.
intend,I intend to.
effect,No effect.
stood,Yet stood the trees
alarm,False alarm.
appears,It appears so.
protection,Protection.
mountains,Mountains.
period,Period.
sharp,Sharp.
remove,Remove it.
punch,Punch it!
babies,My babies!
factory,The roof of the license-plate factory needs resurfacing.
curious,I'm curious.
becomes,The scenery instantly becomes countless lines
toast,A toast.
reports,Personal weather reports.
political,Political?
available,I'm available.
kicked,I got kicked out.
moves,Nobody moves!
prime,Prime Minister.
breathing,He's not breathing.
union,Union!
dust,Dust.
score,What's the score?
everyone's,Everyone's here.
sue,Sue!
grade,What grade are you in?
false,False alarm.
snake,Snake!
wheel,Take the wheel.
annie,Annie.
rooms,How many rooms?
governor,Governor.
negative,Negative.
stealing,Stealing?
fail,Without fail.
piss,Piss off!
healthy,It's not healthy.
friendship,Friendship.
advantage,Take advantage of it.
ordinary,Nothing out of the ordinary.
rice,Rice.
image,The image is disturbing.
pulling,Are you pulling my leg?
source,Source?
tower,Save the clock tower.
americans,Americans.
plate,Plate.
ryan,Ryan.
physical,Physical?
millions,Millions.
cos,Cos I was telling the truth.
winner,Winner!
chances,I'll take my chances.
jenny,Jenny!
artist,I'm an artist.
violence,Is violence in movies and sex on TV
bastards,Bastards!
row,Row!
joking,You're joking.
amen,Amen.
claim,"If you want him, come and claim him."
location,Location?
mighty,"She was Xena, a mighty princess forged in the heat of battle."
university,University.
troops,Troops!
senator,Senator.
unusual,That's unusual.
circumstances,What circumstances?
focus,Focus.
giant,"That's one small step for man, one giant leap for mankind."
tail,Tail.
arrive,When did you arrive?
disgusting,That's disgusting.
fifty,Fifty.
newspaper,Newspaper?
hunting,Good hunting.
scary,Scary.
destiny,Destiny.
beloved,Beloved.
beating,Why are you beating me?
button,Push the button.
treatment,Treatment?
roy,Roy!
cancer,Cancer.
mystery,It's a mystery.
garage,In the garage.
pills,Pills.
rope,Rope?
families,Families.
china,China.
silent,You have the right to remain silent.
cooking,What's cooking?
elizabeth,Elizabeth.
loving,I never stopped loving you.
capable,He's capable of anything.
treated,"Well, if I treated you so bad, how come you came back?"
equipment,Equipment?
whore,Whore!
presence,Thou preparest a table before me in the presence of mine enemies.
managed,I managed.
therefore,Therefore...
naturally,Naturally.
suffering,Suffering.
carried,I got carried away.
fallen,I've fallen in love.
fishing,Fishing?
schedule,Right on schedule.
dump,What a dump.
smoking,No smoking.
smells,Smells good.
complicated,It's complicated.
stronger,Stronger.
council,Council.
toilet,Where's the toilet?
emperor,Long live the Emperor!
quarter,A quarter.
pot,Pot?
disappear,Disappear.
direct,How may I direct your call?
chuck,Chuck.
event,"In any event,"
cow,Holy cow!
extremely,Extremely.
marshal,Marshal.
sale,It's not for sale.
seek,"to explore strange new worlds, to seek out new life and new civilizations, to boldly go where no one has gone before."
louis,Louis.
becoming,It's very becoming.
kitty,Kitty.
bay,"Long has my father, the Steward of Gondor kept the forces of Mordor at bay."
cast,Cast
dna,DNA.
yard,Scotland Yard.
throwing,I feel like throwing up.
files,Files.
slip,Don't slip.
frightened,Don't be frightened.
cleaning,Cleaning.
shadow,Shadow!
ugh,Ugh!
coast,The coast is clear.
sexual,Sexual?
comin,I'm comin'.
witch,Witch!
mexico,Mexico.
why'd,Why'd you do that?
victor,Victor.
talkin,What are you talkin' about?
non,Non.
stock,Stock.
tank,Tank.
stairs,Up the stairs.
falls,Niagara Falls.
tests,What kind of tests?
bro,Bro!
darkness,Darkness.
italian,Italian.
ahh,Ahh!
unbelievable,Unbelievable.
eve,Eve.
value,One of the halflings carries something of great value.
signs,Life signs?
screwed,I screwed up.
nasty,Nasty.
served,Dinner is served.
shoulder,Shoulder arms!
intelligence,Intelligence.
receive,Ask and you shall receive.
sacrifice,Sacrifice.
sons,Sons of bitches!
mom's,Mom's here.
flesh,In the flesh.
hated,I hated it.
steady,Steady.
directly,Not directly.
bang,Bang!
engaged,I'm engaged.
site,This is my site.
bond,James Bond.
lets,Lets go.
considered,"In the criminal justice system, sexually based offenses are considered especially heinous."
continues,Continues
dating,Dating?
cure,We don't need a cure!
juice,Juice?
pizza,Pizza.
beast,Beast!
edge,The quest stands upon the edge of a knife.
deck,Hit the deck!
desperate,I'm desperate.
magazine,I read it in a magazine.
claire,Claire.
mostly,Mostly.
alert,Red alert.
creature,It was picked up by the most unlikely creature imaginable.
screen,On screen.
knees,On your knees!
threat,Is that a threat?
dozen,A dozen?
wife's,Your wife's here.
youth,Youth.
eventually,Eventually.
bow,Bow.
drag,What a drag.
trace,Not a trace.
winning,Who's winning?
terribly,I'm terribly sorry.
defend,Defend yourself.
amy,Amy.
facts,Just the facts.
convinced,I'm convinced.
guts,You don't have the guts.
sexy,Sexy.
gettin,Gettin' from there to here
dean,Dean.
duck,Duck!
nation,"Roger Ramjet, he's our man, Hero of our nation."
steps,Baby steps.
luke,Luke.
expert,You're the expert.
sin,It's a sin.
notes,Notes.
spoken,I have spoken.
duke,Duke!
senior,Senior.
studio,Cheers is filmed before a live studio audience.
illegal,It's illegal.
mile,About a mile.
object,I object.
talks,Money talks.
terms,Those are my terms.
betty,Betty.
attitude,I don't like your attitude.
woke,I woke up.
rocks,Rocks.
collect,Collect.
wishes,Best wishes.
goodnight,Goodnight.
wasting,You're wasting your time.
karen,Karen.
trapped,We're trapped.
mistakes,We all make mistakes.
sally,Sally.
exchange,In exchange for what?
kyle,Kyle.
firm,Stand firm!
authority,On whose authority?
bound,It was bound to happen.
hank,Hank!
surface,Surface.
plays,Money plays.
valley,"Yea, though I walk through the valley of the shadow of death,"
properly,Do it properly.
jackson,Jackson.
staring,What are you staring at?
counting,I'm counting on you.
reward,Reward?
marks,X marks the spot.
eaten,Have you eaten?
today's,Today's the day.
robbery,Robbery!
los,Los Angeles.
rare,Very rare.
warrant,You got a warrant?
saint,You're a saint.
id,No ID.
holiday,Holiday?
result,What's the result?
someplace,Someplace.
separate,"In the criminal justice system the people are represented by two separate yet equally important groups, the police who investigate crime and the district attorneys who prosecute the offenders."
wave,Wave.
route,En route.
boom,Boom!
parking,No parking.
climb,Climb!
pen,Do you have a pen?
fruit,Fruit.
girl's,What's the girl's name?
library,Library.
alien,Alien.
doll,You're a doll.
remembered,I just remembered.
hire,"If you have a problem, if no one else can help... and if you can find them... maybe you can hire the A-Team."
estate,Real estate.
demon,Demon!
rude,How rude!
bravo,Bravo!
scream,Don't scream.
progress,Any progress?
prize,What's the prize?
knocked,I knocked.
bust,Don't bust my balls.
convince,Convince me.
wounded,He's wounded.
ambulance,Call an ambulance!
joint,Folks around this joint love surprise inspections.
japan,Japan.
chose,I chose you.
lookin,What are you lookin' at?
guarantee,I guarantee it.
assure,I assure you.
federal,I'm a federal agent.
witnesses,Any witnesses?
piano,Piano
vegas,Vegas.
closing,We're closing.
remains,That remains to be seen.
grandmother,Grandmother!
chosen,He has chosen exile.
houses,Others build matchstick houses.
ross,Ross.
tiger,Tiger!
garbage,Garbage.
texas,Texas.
johnson,Johnson.
spy,A spy?
glory,Glory!
reputation,Your reputation precedes you.
brother's,Your brother's dead.
pissed,I'm pissed.
photos,Photos.
device,What kind of device could bring down the wall?
hundreds,Hundreds.
anne,Anne.
settled,Then it's settled.
c'mon,C'mon.
chain,"Chain, chain, chain"
mac,Mac.
solve,How do you solve a problem like Maria?
marie,Marie.
brand,It's brand-new.
prisoners,Prisoners?
theater,The theater.
committee,Appropriations Committee voted an annual payment of 500 just to shut him up.
terry,Terry.
exact,Exact.
salt,Salt.
panic,Don't panic.
sand,Sand.
india,India.
robin,Robin!
chuckles,Chuckles
kingdom,Thy kingdom come.
damned,I'll be damned.
released,Released?
searching,Keep searching.
spending,We're spending too much time together here.
rick,Rick!
incident,What incident?
popular,Very popular.
carol,Carol.
belt,Put your seat belt on.
curse,Curse you!
sentence,Sentence?
el,El Paso.
launch,Launch!
cruel,That's cruel.
secure,Secure.
jackie,Jackie!
emily,Emily.
leading,Leading.
proceed,Proceed.
maid,The maid.
loser,Loser.
basically,Basically.
bull,Bull.
vehicle,Stop the vehicle.
windows,Windows!
ann,Ann.
conference,Conference room.
competition,Competition.
bored,I'm bored.
commit,Will you commit to this program?
shift,Shift.
navy,Navy.
fed,I'm fed up.
material,And I am a material girl
puts,He puts his hand in your shirt and squeezes your tit till it's purple.
gorgeous,Gorgeous.
mixed,I'm all mixed up.
border,I hope I can make it across the border.
songs,I wonder if we'll ever be put into songs or tales.
moments,I have my moments.
husband's,My husband's.
successful,Successful?
thrown,A friendship with Saruman is not lightly thrown aside.
leads,Any leads?
buck,Buck!
world's,We have the capability to make the world's first bionic man.
donna,Donna.
confidence,Thanks for the vote of confidence.
reckon,What do you reckon?
morgan,Morgan.
wolf,Wolf!
dirt,Dirt.
policy,It's policy.
term,Long term.
district,"In the criminal justice system the people are represented by two separate yet equally important groups, the police who investigate crime and the district attorneys who prosecute the offenders."
cutting,I'm cutting in.
christian,Christian!
minds,Are you out of your minds?
stands,Stands With A Fist.
miserable,Miserable.
series,World Series.
plain,Plain and simple.
highly,This is highly irregular.
lousy,Lousy.
performance,What a performance.
kinds,All kinds.
hates,She hates me.
metal,Metal.
wilson,Wilson!
fever,Fever?
failure,I'm a failure.
customers,Customers.
role,Leo plays a crucial role for us.
zone,The white zone is for immediate loading and unloading of passengers only.
foolish,Don't be foolish.
earn,How much do you earn?
swing,Swing!
entirely,Not entirely.
attempt,Do not attempt to adjust the picture.
shy,Don't be shy.
anytime,Anytime.
shoe,My shoe!
joined,He joined the Special Forces.
deny,Don't deny it.
explanation,I want an explanation.
trail,They've picked up our trail.
edward,Edward.
trash,Trash.
wanting,I've been wanting to talk to you.
slave,Slave!
advance,Advance!
bullets,No bullets.
understanding,Thanks for understanding.
hong,Hong Kong.
marty,Marty!
coincidence,What a coincidence.
fully,That wound will never fully heal.
thin,Thin.
actor,I'm an actor.
wing,Wing!
jungle,It's a jungle out there
laws,There are laws.
defeat,And you will defeat it.
anger,Anger.
bud,Bud.
chick,Chick!
maggie,Maggie!
taylor,Taylor.
what're,What're you doing?
former,Sauron has regained much of his former strength.
africa,Africa.
setting,The sun is setting.
woman's,Woman's intuition.
modern,They're the modern stone age family
transfer,Transfer?
jumped,He jumped.
tricks,No tricks.
pushed,You pushed me.
germany,Germany.
circle,Circle.
pink,Pink.
who'd,Who'd have thought?
behave,Behave yourself.
services,"Closed-Captioned By J.R. Media Services, Inc."
bury,Bury him.
trained,I trained him.
units,All units.
disappointed,Disappointed?
insist,I insist.
rings,phone rings
diamond,Diamond.
surrender,I surrender.
mummy,Mummy!
sports,Sports.
delivery,Special delivery.
degrees,"It's about 82 degrees in downtown Saigon right now, also very humid."
hitting,Why are you hitting me?
nightmare,This is a nightmare.
hunter,Hunter.
toward,Move it right in toward me.
bruce,Bruce.
urgent,It's urgent.
education,Education.
pathetic,Pathetic.
hollywood,Hollywood.
spanish,Spanish.
arrange,I'll arrange it.
effort,Make an effort.
workers,Workers!
systems,All systems go.
clue,Not a clue.
greetings,Greetings.
hell's,What the hell's going on?
handed,I'm left-handed.
behavior,Good behavior.
dreaming,You're dreaming.
vision,I had a vision.
baseball,Baseball.
wings,Wings.
port,Hard to port!
stays,He stays.
mass,Mass hysteria.
channel,Open a channel.
supply,Supply and demand.
stops,Stops
rape,Rape!
international,International.
coward,Coward!
technology,We have the technology.
lou,Lou.
vice,And vice versa.
headquarters,Headquarters.
writer,I'm a writer.
hail,Hail!
helps,It helps.
chasing,Why are you chasing me?
gather,Gather round.
nothing's,Nothing's wrong.
bowl,Bowl.
fifth,Fifth.
jo,Jo!
loan,It's a loan.
warned,I warned you.
monk,Monk.
studying,What are you studying?
stopping,Why are we stopping?
linda,Linda.
solution,It's the only solution.
accepted,Apology accepted.
nerve,What nerve!
closet,In the closet.
learning,You're learning.
mask,Take off your mask.
sean,Sean!
apple,Apple.
solid,Solid.
approach,Approach.
agency,Central Intelligence Agency.
crossed,Keep your fingers crossed.
gordon,Gordon.
thursday,Thursday.
recall,I don't recall.
punishment,Punishment?
wipe,Wipe your feet.
passion,Passion.
arranged,It's all arranged.
practically,Practically.
barbara,Barbara.
germans,Germans.
pleasant,What a pleasant surprise.
teaching,Teaching.
cabin,The cabin.
express,Express yourself
argue,Don't argue.
agents,Federal agents!
tuesday,Tuesday.
lad,Good lad.
that'd,That'd be great.
latest,What's the latest?
sensitive,Sensitive.
useful,Make yourself useful.
doug,Doug.
goal,Goal!
politics,Politics.
attractive,Very attractive.
rotten,Rotten.
sweat,No sweat.
lily,Lily.
hurting,You're hurting me.
fox,Fox.
blast,Blast!
angeles,Los Angeles.
joseph,Joseph.
woo,Woo!
embarrassing,It's embarrassing.
gary,Gary.
tax,Tax-free.
noble,How noble.
kissed,She kissed me.
boots,Boots.
guide,lllustrated Guide to Soul Reapers!
parties,I love parties.
lewis,Lewis.
wallet,Give me your wallet.
pushing,Stop pushing!
servant,"Your servant, sir."
swimming,Swimming.
bat,Give me the bat.
julia,Julia.
cheer,Cheer up.
mental,Are you mental?
fuel,Fuel.
rip,Let her rip.
outfit,Nice outfit.
burns,It burns!
bills,Bills.
ellen,Ellen.
provide,I can provide security.
confess,Confess!
rabbit,Rabbit.
connected,It's all connected.
chat,Let's have a chat.
flag,The flag is up.
possibility,It's a possibility.
cliff,Cliff.
virgin,I'm a virgin.
demand,I demand an explanation.
ability,Ability?
loaded,It's loaded.
lack,Not for lack of trying.
kong,Hong Kong.
detail,Every detail.
custody,He's in custody.
unknown,Unknown.
frankly,"Frankly, yes."
tunnel,"Dig a tunnel, dig, dig a tunnel"
sandwich,Sandwich?
imagination,Use your imagination.
degree,Murder in the first degree.
ignore,Ignore him.
kills,It kills me.
elevator,Hold the elevator.
ease,At ease.
virus,A virus?
francisco,San Francisco.
entered,The enemy knows you have entered here.
stan,Stan!
golf,Golf?
butter,Butter.
contest,No contest.
bars,To stay behind bars until use and old age accept them.
hits,No hits.
suspicious,Suspicious?
current,Does it make you feel responsible for Harvey Dent's current predicament?
firing,Cease firing!
debt,I'm in your debt.
orange,Orange.
pussy,Pussy.
busted,Busted.
greater,The greater good.
sonny,Sonny.
admiral,Admiral.
willie,Willie!
episode,Please do NOT hardsub andor stream this episode using our English subtitles.
filthy,Filthy.
albert,Albert.
amanda,Amanda.
skills,"And although his airbending skills are great, he has a lot to learn before he's ready to save anyone."
ceremony,What ceremony?
agreement,We had an agreement.
lane,Lane.
trusted,I trusted you.
impressed,I'm impressed.
pulse,No pulse.
exercise,Exercise.
crown,The crown!
josh,Josh.
landing,Landing Rocket Arm switch is on.
package,What package?
barry,Barry.
gear,Gear up.
wayne,Wayne.
diamonds,Diamonds.
violent,Violent.
supper,Supper?
suits,It suits you.
steel,Steel.
shine,Rise and shine.
print,Print it.
museum,The museum.
asks,"Anybody asks, we got him out."
twelve,Twelve.
refused,I refused.
bug,A bug?
satisfied,Satisfied?
cave,Into the cave!
impression,That was my first impression of the man.
considering,I'm considering it.
grass,Grass.
ralph,Ralph!
campaign,"Mr. Mayor, you were elected in a campaign to clean up the city."
jokes,No jokes.
hills,Beverly Hills.
alcohol,Alcohol.
cheat,Cheat!
quarters,General quarters!
margaret,Margaret.
april,April.
sides,Both sides.
thats,Thats right.
downtown,Downtown.
hop,Hop in.
trigger,Pull the trigger.
purse,My purse!
nuclear,Nuclear?
mix,Mix it up.
accused,We have the accused at the scene of the crime.
wagon,Get in the wagon.
lifetime,Not in this lifetime.
inform,"He says, Sorry to inform you, but your brother just died."
cigarettes,Cigarettes.
rolling,Rolling.
extraordinary,Extraordinary.
co,"English Subtitles by GELULA CO., INC."
pipe,Pipe down.
champion,Champion!
task,This task was appointed to you.
embarrassed,I'm embarrassed.
capital,Capital!
begins,And so it begins.
perform,"Wanting to perform the mysterious,"
concentrate,Concentrate.
jeez,Jeez.
threatened,He threatened me.
abandoned,It's abandoned.
drew,Drew.
june,June.
routine,Routine.
spit,Spit it out.
mistress,Mistress!
basement,In the basement.
reasonable,Be reasonable.
awfully,I'm awfully sorry.
beaten,Beaten to death.
sarge,Sarge.
cats,Cats.
plastic,Plastic.
impressive,Impressive.
heck,What the heck?
clients,Clients?
jesse,Jesse.
prints,No prints.
favour,Do me a favour.
league,You're out of your league.
generous,That's very generous.
fashion,After a fashion.
particularly,Not particularly.
cents,Fifty cents.
greg,Greg.
disaster,This is a disaster.
sacred,Is nothing sacred?
childhood,I spent all my childhood pretending I was off somewhere else.
speaks,He speaks.
nail,Nail them up!
wins,Everybody wins.
vincent,Vincent.
status,What's your status?
entrance,Where's the entrance?
flash,Flash!
partners,We're partners.
quality,Knickety-knackety Rustical quality
andrew,Andrew.
aim,Aim!
fetch,Fetch!
assault,Assault.
patience,Patience.
aii,AII right.
title,What's the title?
wore,Five long years he wore this watch up his ass.
similar,Watch out and Have a nice are similar
scratch,It's just a scratch.
frankie,Frankie!
fort,Hold down the fort.
struck,"Before the final blow was struck,"
customer,A customer.
pee,I have to pee.
emotional,Emotional.
youre,Youre right.
beef,Beef.
identify,Identify yourself.
hug,Give me a hug.
movement,Movement.
merely,I merely commented that it was freezing in the princess's chamber.
empire,Empire State Building.
martha,Martha.
stake,There's too much at stake.
unhappy,Are you unhappy?
gray,Gray.
reminds,That reminds me.
costs,I don't care what it costs.
afterwards,Afterwards.
seats,Take your seats.
enjoyed,I enjoyed it.
barney,Barney.
daily,Give us this day our daily bread.
nancy,Nancy.
stanley,Stanley.
blown,We're blown.
civil,Very civil.
suffered,He's suffered enough.
valuable,It's very valuable.
comfort,"Thy rod and thy staff, they comfort me."
chip,Chip?
article,What article?
heavens,Good heavens!
enjoying,Enjoying yourself?
ken,Ken!
toy,It's not a toy.
confession,I have a confession to make.
punk,Punk.
seal,Seal it off.
noon,Noon.
betrayed,You betrayed me.
media,Subtitles by SDI Media Group
charity,Charity?
conscience,My conscience is clear.
despite,"Despite a few hitches, the boys came through in fine style."
breaks,It breaks my heart.
ricky,Ricky!
opposite,Just the opposite.
believes,Nobody believes me.
bothering,What's bothering you?
pound,"In for a penny, in for a pound."
related,Are you related?
cleaned,Let's get you cleaned up.
figures,Figures.
homework,Homework.
boy's,The boy's right.
patrol,Orcs patrol the eastern shore.
walks,She walks softly but she carries a big gun
normally,Breathe normally.
identity,Identity confirmed.
selfish,Selfish.
traitor,Traitor!
reported,Conklin reported to him.
comrade,Comrade!
cap,Cap.
delivered,"Signed, sealed and delivered."
habit,Force of habit.
kidnapped,Kidnapped?
reverend,Reverend.
standard,Standard procedure.
reaction,No reaction.
events,What about all that talk about screwing up future events?
wives,Previously on Army Wives...
attend,I have some business to attend to.
mistaken,You're mistaken.
territory,It goes with the territory.
jonathan,Jonathan!
collection,For your collection.
commissioner,Commissioner.
l've,l've got it.
robot,Robot.
yelling,Why are you yelling?
worrying,Stop worrying.
designed,I designed it.
turkey,Turkey.
bail,Bail!
nephew,My nephew.
daughter's,What's your daughter's name?
warrior,I am a warrior.
gentle,Be gentle.
fu,Fu!
earl,Earl.
fools,Fools!
spirits,Spirits?
creatures,Hobbits really are amazing creatures.
instructions,Request instructions.
occasion,What's the occasion?
cheating,That's cheating.
division,"A Division of TIME WARNER ENTERTAINMENT COMPANY, L.P."
neighbors,We're neighbors.
trunk,Open the trunk.
tracks,Tracks.
kissing,Kissing.
owns,Who owns it?
blessed,Blessed be the name of the Lord.
sara,Sara.
gain,"No pain, no gain."
cleared,Cleared.
affairs,Internal Affairs.
tokyo,Tokyo?
wasted,We've wasted enough time.
shouting,Why are you shouting?
concert,Concert?
offering,What are you offering?
kid's,The kid's right.
indians,Indians!
sucks,That sucks.
balance,Balance.
begging,I'm begging you.
forty,Forty.
legend,He's a legend.
circus,The circus.
blowing,Whistle Blowing
fields,"The woods, the fields."
forth,Back and forth.
explosion,Explosion
pet,It's a wonderful pet to have.
oscar,Oscar.
couch,On the couch.
lion,Lion!
smiling,Why are you smiling?
strangers,Strangers.
what'll,What'll it be?
fairy,It's a fairy tale.
design,He design your mind.
painful,Painful?
martial,The Greatest Martial Arts Games The Greatest Martial Arts Games
herr,"Jawohl, Herr Kommandant."
hitler,Heil Hitler.
jews,Jews.
laundry,Laundry.
miller,Miller.
touching,How touching.
crush,Crush them!
sandy,Sandy.
removed,Surgically removed before embryo implantation.
son's,What's your son's name?
films,Films?
parker,Parker.
harold,Harold.
sport,Be a sport.
anti,I'm working with an anti-Castro group.
deaf,Are you deaf?
farewell,Farewell.
revolution,Long live the revolution!
messages,Any messages?
pattern,A pattern.
surrounded,We're surrounded.
injured,Are you injured?
presents,Presents.
shown,So he hasn't shown up?
hip,"Hip, hip, hooray!"
protecting,Why are you protecting him?
jewish,I'm Jewish.
pour,Pour.
odds,What are the odds?
struggle,Don't struggle.
ages,It's been ages.
sheep,Sheep.
mysterious,The Lord works in mysterious ways.
species,What species?
drawing,What are you drawing?
cancel,Cancel it.
fence,Fence.
deputy,Deputy.
thick,It's too thick.
ta,Ta-da!
motion,I second the motion.
backup,I need backup.
angela,Angela.
knight,Knight.
berlin,Berlin.
inch,Don't move an inch.
murders,What murders?
whiskey,Whiskey.
production,I Love Lucy is a Desilu Production.
judgment,Do not be too eager to deal out death and judgment.
rats,Rats!
interrupt,Sorry to interrupt.
traveling,Traveling.
junk,Junk.
starving,I'm starving.
shout,Don't shout.
packed,Get packed.
horn,Horn Honking
catherine,Catherine.
beside,That's beside the point.
transport,Transport.
skip,Skip it.
meantime,"In the meantime,"
reporter,I'm a reporter.
homicide,Homicide.
background,What's your background?
escort,I'll escort you.
lucas,Lucas.
ringing,phone ringing
ln,ln here.
torture,Torture.
lend,Can you lend me some money?
argument,No argument.
banks,Banks!
jin,Jin!
specific,Can you be more specific?
ouch,Ouch!
harvey,Harvey.
nathan,Nathan.
jamie,Jamie!
intelligent,Intelligent.
belly,Let's put a maggot hole in your belly!
hoped,I hoped you would.
dennis,Dennis!
sounded,It sounded good.
steven,Steven.
robbed,I've been robbed.
describe,Can you describe him?
year's,It's New Year's Eve.
charged,Guilty as charged.
boo,Boo!
patrick,Patrick.
citizens,Citizens!
jennifer,Jennifer.
visiting,Visiting hours are over.
survived,He survived.
fifteen,Fifteen.
cameras,Cameras.
quietly,Quietly.
conditions,Conditions?
sister's,Your sister's here.
deserves,He deserves it.
alley,Alley-oop!
ghosts,Ghosts?
crimes,I dragged the head of the Major Crimes Unit down here.
confirmed,Confirmed.
mouse,Mouse!
wednesday,Wednesday.
brad,Brad.
procedure,Standard procedure.
deeply,Breathe deeply.
aid,You must call for aid.
issues,Issues?
experiment,It's an experiment.
singer,I'm a singer.
pat,Pat.
captured,Captured?
caesar,Caesar!
mud,Mud.
italy,Italy.
stones,Where are the stones?
lois,Lois.
fleet,Deploy the fleet.
crystal,Crystal.
bible,The Bible.
goods,hhhhhhhNISHIMOTO hhhSPORTING GOODS
gambling,Gambling?
slipped,I slipped.
enterprise,These are the voyages of the Starship Enterprise.
bum,He's a bum.
pretending,Stop pretending.
chop,Chop-chop.
hee,Hee hee hee!
instance,For instance?
ending,Our time here is ending.
gimme,Gimme that.
boston,Boston.
exit,Exit.
informed,Keep me informed.
marrying,I'm marrying Cal.
davis,Davis.
vic,Vic.
surveillance,Surveillance.
carlos,Carlos.
gus,Gus!
iike,I Iike it.
confirm,Confirm.
sink,Under the sink.
wrap,Wrap it up.
spider,Spider!
machines,Machines.
williams,Williams.
placed,Bets are placed.
molly,Molly!
western,Western Union.
homes,Please return to your homes.
powder,Powder.
precisely,Precisely.
dumped,She dumped me.
skull,Skull?
arts,The Greatest Martial Arts Games The Greatest Martial Arts Games
influence,You're a bad influence.
neighbor,Won't you be my neighbor?
response,No response.
stress,Stress.
sauce,Tartar sauce.
religion,Religion?
charm,Charm.
realise,I realise that.
wondered,I just wondered.
cage,A cage.
behalf,I come on behalf of one whom I love.
equal,No man can be my equal
vince,Vince.
gym,The gym.
earned,You've earned it.
sighs,Sighs
souls,Four brave souls.
hopes,Don't get your hopes up.
flew,I flew.
crisis,What crisis?
wounds,Wounds my heart with a monotonous languor.
rifle,This is my rifle.
ron,Ron.
tone,"At the tone, leave your name and message."
anniversary,Happy anniversary.
frame,Frame.
tries,It tries to chokes us!
potential,Potential?
guilt,Guilt.
hers,It's hers.
invitation,Is that an invitation?
jessica,Jessica.
liquor,Liquor?
headache,I have a headache.
script,I read the script.
randy,Randy.
highway,Highway robbery.
sec,Just a sec.
gates,Open the gates!
photograph,A photograph.
motive,Motive?
cooper,Cooper.
miami,Miami.
uses,My wife uses it.
underground,Underground.
returning,Returning to base.
teddy,Teddy.
holes,Holes?
tune,Catchy tune.
abby,Abby.
cowboy,Cowboy.
link,"Coordinators: mily2, ay_link"
pin,Pin.
offense,No offense.
matthew,Matthew.
liberty,I'm not at liberty to say.
smooth,Smooth.
clinic,The clinic.
unique,Unique.
network,This has been a color presentation of the NBC Television Network.
paradise,Paradise.
walker,Walker.
idiots,Idiots!
florida,Florida.
stubborn,Don't be stubborn.
pigs,Pigs!
cells,Tossing cells was just an excuse.
booth,Booth.
kit,Kit!
worries,No worries.
prevent,Its goal: to prevent another war by creating a place where humans and aliens could work out their differences.
fabulous,Fabulous.
landed,The eagle has landed.
answered,You haven't answered my question.
ram,Ram!
katie,Katie.
chamber,Hagrid never opened the Chamber of Secrets.
frozen,Frozen.
roman,Roman!
lightning,Lightning.
finest,The finest.
billion,Several billion light years from home.
angels,Angels.
loyal,My company are those loyal to Rohan.
criminals,Criminals.
thus,Thus.
temperature,Temperature?
resist,I couldn't resist.
mason,Mason.
chef,Chef!
unable,Unable to comply.
bout,How 'bout you?
testing,Testing.
sample,Free sample.
benefit,Not that you'll benefit much from it.
log,"Captain's log, supplemental."
obey,Obey!
prayer,"Lord, hear our prayer."
sammy,Sammy!
delighted,Delighted.
rocket,Rocket.
blake,Blake.
underneath,Underneath.
drama,Drama.
furniture,Furniture?
lessons,Lessons?
actual,"Hotel One Actual, this is Cowboy."
beats,Beats me.
washed,I washed it.
cattle,Cattle?
assignment,I have an assignment for you.
limit,This is the limit!
punished,Punished?
decisions,I make the decisions.
objection,Objection.
rocky,Rocky!
flies,Time flies.
average,Average.
lovers,Lovers?
exam,Exam 2.
honeymoon,Honeymoon?
sneak,Sneak.
personality,Personality.
lawyers,Lawyers.
louise,Louise.
barn,In the barn.
culture,Culture?
yell,Don't yell at me.
dreamed,He's got scams you haven't even dreamed of.
clay,Clay.
replace,I'll replace it.
string,String him up!
construction,Construction.
fond,He's very fond of you.
snap,Snap out of it!
ambassador,Ambassador.
complain,Can't complain.
emma,Emma.
mickey,Mickey!
humor,Humor me.
li,Chong Li!
fighter,He's a fighter.
timing,Perfect timing.
opera,Opera?
fascinating,Fascinating.
citizen,I'm an American citizen.
raped,He raped me.
soap,Soap.
salad,Salad.
chairman,Mr. Chairman.
dropping,Thanks for dropping by.
divorced,Divorced.
life's,Life's too short.
ruth,Ruth.
actions,Actions speak louder than words.
everyday,Everyday.
thieves,Thieves!
judy,Judy.
supplies,Supplies.
worthy,Build me an army worthy of Mordor.
begun,It's begun.
ward,Ward.
pays,Who pays?
underwear,Underwear.
policeman,I'm a policeman.
anxious,Anxious.
determined,I'm determined.
defendant,Will the defendant please rise?
boxes,What's in the boxes?
net,Subtitles downloaded from Podnapisi.NET
cloud,Cloud!
granny,Granny!
holds,No holds barred.
ranch,A ranch?
therapy,Therapy.
un,Un-fucking-believable.
blows,Whistle Blows
clouds,The storm clouds broke
dealer,He's a drug dealer.
yards,The whole nine yards.
superior,Superior?
ad,What ad?
destruction,The year of destruction.
chin,Chin up.
daddy's,Daddy's here.
bishop,Bishop.
meanwhile,Meanwhile...
messed,I messed up.
hid,I hid it.
charlotte,Charlotte.
adult,I'm an adult.
